trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2126,False,"{'a': 0.002, 'e': 0.014264233908999256}",25,14,19.8504115954525,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2127,False,"{'a': 0.002, 'e': 0.014235733950639606}",30,16,27.44225356878772,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2128,False,"{'a': 0.002, 'e': 0.014207290935234726}",30,16,28.435028556214025,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2129,False,"{'a': 0.002, 'e': 0.014178904749012544}",25,15,18.83355769730391,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2130,False,"{'a': 0.002, 'e': 0.014150575278428262}",30,18,24.897766019585838,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2131,False,"{'a': 0.002, 'e': 0.014122302410163962}",30,22,17.94338304384771,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2132,False,"{'a': 0.002, 'e': 0.01409408603112812}",25,3,35.337078986376895,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2133,False,"{'a': 0.002, 'e': 0.014065926028455205}",20,0,29.70331129811787,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2134,False,"{'a': 0.002, 'e': 0.014037822289505161}",20,3,11.32892013356179,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2135,False,"{'a': 0.002, 'e': 0.01400977470186299}",30,19,22.569961201021716,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2136,False,"{'a': 0.002, 'e': 0.013981783153338296}",20,0,35.1196443313423,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2137,False,"{'a': 0.002, 'e': 0.013953847531964868}",20,6,22.47858051884522,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2138,False,"{'a': 0.002, 'e': 0.013925967726000174}",20,8,21.64957115812598,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2139,False,"{'a': 0.002, 'e': 0.013898143623924953}",30,19,22.561722551073274,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2140,False,"{'a': 0.002, 'e': 0.013870375114442744}",20,13,5.241187146609745,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
2141,False,"{'a': 0.002, 'e': 0.013842662086479501}",20,8,24.429729543423107,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2142,False,"{'a': 0.002, 'e': 0.01381500442918306}",30,18,23.370414360553582,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2143,False,"{'a': 0.002, 'e': 0.013787402031922757}",20,4,25.204699324607056,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2144,False,"{'a': 0.002, 'e': 0.01375985478428895}",20,10,18.746593764211674,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2145,False,"{'a': 0.002, 'e': 0.01373236257609264}",20,9,18.05591873691894,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
